ID;X;Y;Cost;Path_Order;Is_Selected;Min_Z
0;1355;1796;496;0;1;71488
1;2524;387;414;84;1;71488
2;2769;430;500;82;1;71488
3;3131;1199;1133;-1;0;71488
4;661;87;903;24;1;71488
5;628;974;1081;7;1;71488
6;1748;185;1859;-1;0;71488
7;3650;1882;945;-1;0;71488
8;3474;1230;1389;-1;0;71488
9;2662;1405;776;75;1;71488
10;249;47;774;22;1;71488
11;681;385;1727;-1;0;71488
12;2219;964;1370;-1;0;71488
13;3741;252;1839;-1;0;71488
14;3088;1482;267;72;1;71488
15;2428;1551;891;-1;0;71488
16;3562;3;82;51;1;71488
17;3734;657;1819;-1;0;71488
18;229;1847;182;13;1;71488
19;2346;573;1500;-1;0;71488
20;34;1705;1371;-1;0;71488
21;3365;1888;774;-1;0;71488
22;47;1340;88;14;1;71488
23;2005;1631;819;94;1;71488
24;1067;407;1481;-1;0;71488
25;3209;224;756;50;1;71488
26;2371;371;834;46;1;71488
27;3990;1450;974;-1;0;71488
28;594;563;1477;-1;0;71488
29;990;47;1499;-1;0;71488
30;97;409;1025;20;1;71488
31;3697;324;394;56;1;71488
32;3125;1312;1585;-1;0;71488
33;2578;1230;1855;-1;0;71488
34;43;770;191;16;1;71488
35;729;356;976;27;1;71488
36;771;1904;1497;-1;0;71488
37;2573;1231;1269;-1;0;71488
38;3660;427;1599;-1;0;71488
39;3637;1416;1066;-1;0;71488
40;3585;1109;277;65;1;71488
41;550;1241;379;5;1;71488
42;583;895;158;8;1;71488
43;724;765;581;29;1;71488
44;3134;177;311;49;1;71488
45;1450;602;1867;-1;0;71488
46;1065;1451;526;1;1;71488
47;901;745;1188;-1;0;71488
48;227;534;986;18;1;71488
49;2943;1341;104;78;1;71488
50;3846;256;1947;-1;0;71488
51;1479;1027;617;34;1;71488
52;3166;973;557;62;1;71488
53;2097;299;81;44;1;71488
54;165;413;557;19;1;71488
55;3144;924;585;79;1;71488
56;3796;244;1046;55;1;71488
57;3134;746;555;61;1;71488
58;3855;1808;1284;-1;0;71488
59;1172;933;125;32;1;71488
60;1285;1233;1686;-1;0;71488
61;2667;1503;1995;-1;0;71488
62;2678;1417;182;74;1;71488
63;1972;616;129;89;1;71488
64;2401;1778;1685;-1;0;71488
65;928;782;163;31;1;71488
66;1642;1125;1604;-1;0;71488
67;554;1946;1688;-1;0;71488
68;922;1647;785;2;1;71488
69;359;1840;1033;11;1;71488
70;1639;4;622;40;1;71488
71;3964;1678;1284;-1;0;71488
72;1341;844;1284;-1;0;71488
73;2791;1912;1390;-1;0;71488
74;2571;560;1669;-1;0;71488
75;2614;132;360;48;1;71488
76;1842;1709;1888;-1;0;71488
77;816;696;1351;-1;0;71488
78;3399;405;20;57;1;71488
79;1852;682;561;90;1;71488
80;1823;868;445;91;1;71488
81;3901;849;606;67;1;71488
82;3069;412;1133;-1;0;71488
83;2133;1803;1899;-1;0;71488
84;656;226;931;26;1;71488
85;3779;320;1618;-1;0;71488
86;2398;214;497;47;1;71488
87;2685;520;1842;-1;0;71488
88;3626;4;1866;-1;0;71488
89;1922;1845;754;96;1;71488
90;3991;1300;246;68;1;71488
91;3430;746;1510;-1;0;71488
92;3174;606;390;60;1;71488
93;939;1962;860;-1;0;71488
94;2237;764;323;88;1;71488
95;3691;1650;1075;-1;0;71488
96;664;1058;1278;-1;0;71488
97;2465;426;310;85;1;71488
98;3954;681;1727;-1;0;71488
99;2246;490;1895;-1;0;71488
100;2343;360;965;45;1;71488
101;2504;302;297;83;1;71488
