ID;X;Y;Cost;Path_Order;Is_Selected;Min_Z
0;1355;1796;496;40;1;83182
1;2524;387;414;67;1;83182
2;2769;430;500;94;1;83182
3;3131;1199;1133;-1;0;83182
4;661;87;903;58;1;83182
5;628;974;1081;52;1;83182
6;1748;185;1859;-1;0;83182
7;3650;1882;945;-1;0;83182
8;3474;1230;1389;-1;0;83182
9;2662;1405;776;-1;0;83182
10;249;47;774;61;1;83182
11;681;385;1727;-1;0;83182
12;2219;964;1370;-1;0;83182
13;3741;252;1839;-1;0;83182
14;3088;1482;267;89;1;83182
15;2428;1551;891;-1;0;83182
16;3562;3;82;80;1;83182
17;3734;657;1819;-1;0;83182
18;229;1847;182;19;1;83182
19;2346;573;1500;-1;0;83182
20;34;1705;1371;-1;0;83182
21;3365;1888;774;-1;0;83182
22;47;1340;88;18;1;83182
23;2005;1631;819;-1;0;83182
24;1067;407;1481;-1;0;83182
25;3209;224;756;-1;0;83182
26;2371;371;834;97;1;83182
27;3990;1450;974;-1;0;83182
28;594;563;1477;-1;0;83182
29;990;47;1499;-1;0;83182
30;97;409;1025;27;1;83182
31;3697;324;394;81;1;83182
32;3125;1312;1585;-1;0;83182
33;2578;1230;1855;-1;0;83182
34;43;770;191;17;1;83182
35;729;356;976;60;1;83182
36;771;1904;1497;46;1;83182
37;2573;1231;1269;-1;0;83182
38;3660;427;1599;-1;0;83182
39;3637;1416;1066;-1;0;83182
40;3585;1109;277;73;1;83182
41;550;1241;379;14;1;83182
42;583;895;158;15;1;83182
43;724;765;581;29;1;83182
44;3134;177;311;82;1;83182
45;1450;602;1867;-1;0;83182
46;1065;1451;526;42;1;83182
47;901;745;1188;-1;0;83182
48;227;534;986;28;1;83182
49;2943;1341;104;86;1;83182
50;3846;256;1947;-1;0;83182
51;1479;1027;617;36;1;83182
52;3166;973;557;91;1;83182
53;2097;299;81;3;1;83182
54;165;413;557;26;1;83182
55;3144;924;585;92;1;83182
56;3796;244;1046;-1;0;83182
57;3134;746;555;84;1;83182
58;3855;1808;1284;-1;0;83182
59;1172;933;125;10;1;83182
60;1285;1233;1686;-1;0;83182
61;2667;1503;1995;-1;0;83182
62;2678;1417;182;88;1;83182
63;1972;616;129;2;1;83182
64;2401;1778;1685;-1;0;83182
65;928;782;163;8;1;83182
66;1642;1125;1604;-1;0;83182
67;554;1946;1688;-1;0;83182
68;922;1647;785;43;1;83182
69;359;1840;1033;21;1;83182
70;1639;4;622;64;1;83182
71;3964;1678;1284;-1;0;83182
72;1341;844;1284;-1;0;83182
73;2791;1912;1390;-1;0;83182
74;2571;560;1669;-1;0;83182
75;2614;132;360;95;1;83182
76;1842;1709;1888;-1;0;83182
77;816;696;1351;-1;0;83182
78;3399;405;20;70;1;83182
79;1852;682;561;33;1;83182
80;1823;868;445;32;1;83182
81;3901;849;606;76;1;83182
82;3069;412;1133;-1;0;83182
83;2133;1803;1899;-1;0;83182
84;656;226;931;59;1;83182
85;3779;320;1618;-1;0;83182
86;2398;214;497;96;1;83182
87;2685;520;1842;-1;0;83182
88;3626;4;1866;-1;0;83182
89;1922;1845;754;-1;0;83182
90;3991;1300;246;75;1;83182
91;3430;746;1510;-1;0;83182
92;3174;606;390;83;1;83182
93;939;1962;860;44;1;83182
94;2237;764;323;1;1;83182
95;3691;1650;1075;-1;0;83182
96;664;1058;1278;53;1;83182
97;2465;426;310;66;1;83182
98;3954;681;1727;-1;0;83182
99;2246;490;1895;-1;0;83182
100;2343;360;965;98;1;83182
101;2504;302;297;65;1;83182
102;2866;1409;939;-1;0;83182
103;11;1064;1203;51;1;83182
104;278;318;1655;-1;0;83182
105;849;777;1383;-1;0;83182
106;3171;1147;264;85;1;83182
107;3983;1428;1958;-1;0;83182
108;389;1979;686;20;1;83182
109;1410;1050;1326;-1;0;83182
110;707;1513;1508;-1;0;83182
111;2559;975;1478;-1;0;83182
112;816;83;607;57;1;83182
113;3819;191;283;77;1;83182
114;2286;1740;1022;-1;0;83182
115;893;1198;166;11;1;83182
116;883;826;345;9;1;83182
117;1199;1948;611;41;1;83182
118;1229;1036;824;54;1;83182
119;3587;1123;1064;-1;0;83182
120;3016;260;34;69;1;83182
121;2218;431;1094;99;1;83182
122;1954;737;1183;-1;0;83182
123;1199;322;119;7;1;83182
124;2337;850;962;0;1;83182
125;2605;556;1940;-1;0;83182
126;892;93;1631;-1;0;83182
127;1311;113;736;63;1;83182
128;2759;1067;1588;-1;0;83182
129;3023;557;657;93;1;83182
130;2207;907;1687;-1;0;83182
131;949;576;1018;56;1;83182
132;2959;1856;1792;-1;0;83182
133;1675;616;491;34;1;83182
134;56;1957;1841;-1;0;83182
135;1651;164;197;6;1;83182
136;2065;430;1302;-1;0;83182
137;1902;1390;293;37;1;83182
138;3226;1399;1055;-1;0;83182
139;772;1422;150;12;1;83182
140;864;1933;945;45;1;83182
141;1521;1224;1845;-1;0;83182
142;499;1421;1871;-1;0;83182
143;1417;1961;424;39;1;83182
144;2898;1609;168;87;1;83182
145;3400;530;145;71;1;83182
146;60;1148;839;49;1;83182
147;262;362;1931;-1;0;83182
148;2498;1204;450;-1;0;83182
149;993;581;849;55;1;83182
150;2540;260;1935;-1;0;83182
151;1525;726;291;30;1;83182
152;2549;554;351;68;1;83182
153;1508;1818;1287;-1;0;83182
154;1878;234;262;5;1;83182
155;2935;1553;1624;-1;0;83182
156;932;34;1625;-1;0;83182
157;3735;514;1106;-1;0;83182
158;2032;230;1155;-1;0;83182
159;331;1322;704;22;1;83182
160;307;671;228;16;1;83182
161;1414;472;1719;-1;0;83182
162;1416;553;555;35;1;83182
163;535;1791;1423;47;1;83182
164;3842;1892;597;-1;0;83182
165;3576;1287;286;74;1;83182
166;704;535;1567;-1;0;83182
167;2682;984;960;-1;0;83182
168;3507;486;1856;-1;0;83182
169;3661;867;1528;-1;0;83182
170;1358;1913;1350;-1;0;83182
171;3726;56;237;79;1;83182
172;2861;825;1809;-1;0;83182
173;1795;337;1802;-1;0;83182
174;3797;990;1716;-1;0;83182
175;3828;57;178;78;1;83182
176;1774;1020;70;31;1;83182
177;263;208;527;25;1;83182
178;3134;1169;420;90;1;83182
