ID;X;Y;Cost;Path_Order;Is_Selected;Min_Z
0;1355;1796;496;-1;0;236404
1;2524;387;414;86;1;236404
2;2769;430;500;-1;0;236404
3;3131;1199;1133;46;1;236404
4;661;87;903;98;1;236404
5;628;974;1081;13;1;236404
6;1748;185;1859;-1;0;236404
7;3650;1882;945;-1;0;236404
8;3474;1230;1389;59;1;236404
9;2662;1405;776;84;1;236404
10;249;47;774;-1;0;236404
11;681;385;1727;54;1;236404
12;2219;964;1370;55;1;236404
13;3741;252;1839;-1;0;236404
14;3088;1482;267;50;1;236404
15;2428;1551;891;77;1;236404
16;3562;3;82;-1;0;236404
17;3734;657;1819;-1;0;236404
18;229;1847;182;-1;0;236404
19;2346;573;1500;74;1;236404
20;34;1705;1371;4;1;236404
21;3365;1888;774;9;1;236404
22;47;1340;88;-1;0;236404
23;2005;1631;819;-1;0;236404
24;1067;407;1481;-1;0;236404
25;3209;224;756;78;1;236404
26;2371;371;834;-1;0;236404
27;3990;1450;974;-1;0;236404
28;594;563;1477;17;1;236404
29;990;47;1499;-1;0;236404
30;97;409;1025;95;1;236404
31;3697;324;394;-1;0;236404
32;3125;1312;1585;65;1;236404
33;2578;1230;1855;-1;0;236404
34;43;770;191;-1;0;236404
35;729;356;976;90;1;236404
36;771;1904;1497;-1;0;236404
37;2573;1231;1269;-1;0;236404
38;3660;427;1599;81;1;236404
39;3637;1416;1066;-1;0;236404
40;3585;1109;277;-1;0;236404
41;550;1241;379;96;1;236404
42;583;895;158;85;1;236404
43;724;765;581;97;1;236404
44;3134;177;311;-1;0;236404
45;1450;602;1867;24;1;236404
46;1065;1451;526;-1;0;236404
47;901;745;1188;-1;0;236404
48;227;534;986;11;1;236404
49;2943;1341;104;38;1;236404
50;3846;256;1947;-1;0;236404
51;1479;1027;617;-1;0;236404
52;3166;973;557;56;1;236404
53;2097;299;81;-1;0;236404
54;165;413;557;93;1;236404
55;3144;924;585;-1;0;236404
56;3796;244;1046;-1;0;236404
57;3134;746;555;-1;0;236404
58;3855;1808;1284;-1;0;236404
59;1172;933;125;36;1;236404
60;1285;1233;1686;64;1;236404
61;2667;1503;1995;-1;0;236404
62;2678;1417;182;41;1;236404
63;1972;616;129;83;1;236404
64;2401;1778;1685;-1;0;236404
65;928;782;163;21;1;236404
66;1642;1125;1604;20;1;236404
67;554;1946;1688;-1;0;236404
68;922;1647;785;-1;0;236404
69;359;1840;1033;-1;0;236404
70;1639;4;622;91;1;236404
71;3964;1678;1284;39;1;236404
72;1341;844;1284;-1;0;236404
73;2791;1912;1390;-1;0;236404
74;2571;560;1669;42;1;236404
75;2614;132;360;-1;0;236404
76;1842;1709;1888;-1;0;236404
