ID;X;Y;Cost;Path_Order;Is_Selected;Min_Z
0;2249;1105;40;27;1;49001
1;278;832;247;-1;0;49001
2;1459;1404;932;-1;0;49001
3;2116;1873;105;19;1;49001
4;3337;1928;515;48;1;49001
5;1191;249;141;84;1;49001
6;1456;1804;329;12;1;49001
7;1420;157;945;-1;0;49001
8;1946;680;119;89;1;49001
9;3503;1542;610;-1;0;49001
10;592;1848;471;8;1;49001
11;1777;1185;330;97;1;49001
12;2196;1078;893;-1;0;49001
13;1889;1720;411;16;1;49001
14;2360;538;920;-1;0;49001
15;2085;1797;350;20;1;49001
16;119;890;585;-1;0;49001
17;210;1841;799;-1;0;49001
18;2954;1253;65;41;1;49001
19;810;808;692;-1;0;49001
20;3731;1803;11;51;1;49001
21;1820;435;299;88;1;49001
22;3619;1219;596;57;1;49001
23;3960;1824;795;-1;0;49001
24;321;724;832;-1;0;49001
25;1309;801;319;-1;0;49001
26;3278;370;683;-1;0;49001
27;2;879;400;-1;0;49001
28;3485;1906;229;50;1;49001
29;2154;1156;28;24;1;49001
30;414;551;842;-1;0;49001
31;632;506;215;-1;0;49001
32;240;1344;797;-1;0;49001
33;1893;1017;78;94;1;49001
34;2834;1384;245;43;1;49001
35;2314;1089;132;26;1;49001
36;1677;73;103;78;1;49001
37;2339;880;952;-1;0;49001
38;70;984;384;-1;0;49001
39;2132;1084;891;-1;0;49001
40;7;1897;120;-1;0;49001
41;2359;715;786;-1;0;49001
42;165;550;579;-1;0;49001
43;1654;1486;638;-1;0;49001
44;449;1756;847;-1;0;49001
45;1060;195;505;83;1;49001
46;895;10;959;-1;0;49001
47;3907;1503;174;54;1;49001
48;3793;578;792;-1;0;49001
49;1904;1118;704;-1;0;49001
50;2256;517;914;-1;0;49001
51;1000;1347;314;1;1;49001
52;3784;960;767;-1;0;49001
53;2920;1809;791;-1;0;49001
54;637;536;299;-1;0;49001
55;2959;1326;289;42;1;49001
56;1911;804;697;91;1;49001
57;3999;1093;628;-1;0;49001
58;2105;393;876;-1;0;49001
59;3624;1821;751;-1;0;49001
60;3979;1762;164;52;1;49001
61;1736;127;313;79;1;49001
62;2964;1170;51;40;1;49001
63;32;1428;56;5;1;49001
64;3217;791;927;-1;0;49001
65;1655;1900;908;-1;0;49001
66;3928;1338;512;56;1;49001
67;981;1513;893;-1;0;49001
68;2040;690;962;-1;0;49001
69;2371;1434;856;-1;0;49001
70;2012;1975;87;18;1;49001
71;954;1556;744;-1;0;49001
72;219;1778;698;-1;0;49001
73;700;487;488;-1;0;49001
74;1300;1251;646;-1;0;49001
75;3736;103;646;-1;0;49001
76;3688;376;766;-1;0;49001
77;2282;296;81;74;1;49001
78;1152;93;410;81;1;49001
79;1770;132;784;-1;0;49001
80;673;52;170;-1;0;49001
81;2453;462;379;29;1;49001
82;2005;510;381;86;1;49001
83;3014;1243;741;-1;0;49001
84;2347;1997;874;-1;0;49001
85;1365;1457;784;0;1;49001
86;3382;964;27;34;1;49001
87;1866;460;712;87;1;49001
88;3334;578;840;-1;0;49001
89;3196;229;303;69;1;49001
90;767;1474;99;9;1;49001
91;1856;126;523;77;1;49001
92;35;1248;894;-1;0;49001
93;3991;247;899;-1;0;49001
94;3944;1385;108;55;1;49001
95;3370;1235;263;35;1;49001
96;170;1403;826;-1;0;49001
97;2352;181;604;75;1;49001
98;1116;1294;697;-1;0;49001
99;3586;1263;451;59;1;49001
100;114;1710;594;-1;0;49001
101;3478;1919;906;-1;0;49001
102;129;1293;732;-1;0;49001
103;3241;318;302;68;1;49001
104;1842;787;381;90;1;49001
105;649;254;892;-1;0;49001
106;2905;891;68;37;1;49001
107;73;1855;324;-1;0;49001
108;129;15;703;-1;0;49001
109;2279;1148;144;25;1;49001
110;3208;1020;990;-1;0;49001
111;2184;746;270;28;1;49001
112;845;885;662;-1;0;49001
113;3325;479;63;65;1;49001
114;3431;256;381;66;1;49001
115;747;1840;797;-1;0;49001
116;990;1092;808;-1;0;49001
117;513;566;31;-1;0;49001
118;1204;1227;591;-1;0;49001
119;2735;684;850;-1;0;49001
120;977;1482;796;-1;0;49001
121;846;1034;10;2;1;49001
122;425;1514;155;6;1;49001
123;1306;516;914;-1;0;49001
124;2932;989;109;39;1;49001
125;804;1364;658;-1;0;49001
126;1822;1668;732;-1;0;49001
127;3238;171;238;70;1;49001
128;3079;1029;534;36;1;49001
129;2991;504;888;-1;0;49001
130;3461;1269;475;58;1;49001
131;555;1117;355;3;1;49001
132;1833;1789;381;15;1;49001
133;514;1770;371;7;1;49001
134;1424;1502;419;99;1;49001
135;277;1305;92;4;1;49001
136;783;317;486;-1;0;49001
137;3433;28;262;67;1;49001
138;1706;1019;244;95;1;49001
139;1680;1260;362;98;1;49001
140;3287;1689;60;47;1;49001
141;2098;6;25;76;1;49001
142;1120;129;575;82;1;49001
143;2702;900;336;38;1;49001
144;1992;864;486;92;1;49001
145;2043;1713;221;21;1;49001
146;2640;88;715;73;1;49001
147;1085;1811;147;11;1;49001
148;3825;1576;145;53;1;49001
149;3388;1945;501;49;1;49001
150;1310;1865;923;-1;0;49001
151;642;673;676;-1;0;49001
152;2909;1748;83;45;1;49001
153;2717;358;51;30;1;49001
154;3958;1389;782;-1;0;49001
155;2452;1841;197;-1;0;49001
156;297;653;506;-1;0;49001
157;1690;787;856;-1;0;49001
158;1118;954;743;-1;0;49001
159;2711;851;677;-1;0;49001
160;1978;992;421;93;1;49001
161;1973;1935;708;17;1;49001
162;902;44;623;-1;0;49001
163;3078;311;182;31;1;49001
164;655;486;690;-1;0;49001
165;3139;124;509;71;1;49001
166;3525;715;67;63;1;49001
167;2446;1648;967;-1;0;49001
168;1848;1559;75;23;1;49001
169;1713;1818;92;14;1;49001
170;2829;1619;522;44;1;49001
171;1601;634;953;-1;0;49001
172;3848;995;539;62;1;49001
173;905;550;707;-1;0;49001
174;3115;1498;766;-1;0;49001
175;1131;69;131;80;1;49001
176;3281;586;6;33;1;49001
177;1450;398;52;85;1;49001
178;683;1750;711;-1;0;49001
179;3749;1066;205;61;1;49001
180;3274;562;635;32;1;49001
181;3209;1224;935;-1;0;49001
182;1595;1058;485;96;1;49001
183;3276;1559;31;46;1;49001
184;2600;1799;594;-1;0;49001
185;3525;1112;27;60;1;49001
186;2851;343;952;-1;0;49001
187;2813;30;216;72;1;49001
188;1622;1862;198;13;1;49001
189;2383;1648;502;-1;0;49001
190;667;101;52;-1;0;49001
191;817;1510;609;10;1;49001
192;1236;1832;911;-1;0;49001
193;579;472;333;-1;0;49001
194;3437;588;248;64;1;49001
195;1882;1616;342;22;1;49001
196;234;358;990;-1;0;49001
197;254;827;839;-1;0;49001
198;441;604;470;-1;0;49001
199;3447;1705;619;-1;0;49001
