ID;X;Y;Cost;Path_Order;Is_Selected;Min_Z
0;2249;1105;40;37;1;52319
1;278;832;247;1;1;52319
2;1459;1404;932;-1;0;52319
3;2116;1873;105;48;1;52319
4;3337;1928;515;-1;0;52319
5;1191;249;141;9;1;52319
6;1456;1804;329;94;1;52319
7;1420;157;945;-1;0;52319
8;1946;680;119;74;1;52319
9;3503;1542;610;-1;0;52319
10;592;1848;471;92;1;52319
11;1777;1185;330;43;1;52319
12;2196;1078;893;-1;0;52319
13;1889;1720;411;-1;0;52319
14;2360;538;920;-1;0;52319
15;2085;1797;350;50;1;52319
16;119;890;585;0;1;52319
17;210;1841;799;-1;0;52319
18;2954;1253;65;32;1;52319
19;810;808;692;-1;0;52319
20;3731;1803;11;26;1;52319
21;1820;435;299;76;1;52319
22;3619;1219;596;58;1;52319
23;3960;1824;795;-1;0;52319
24;321;724;832;-1;0;52319
25;1309;801;319;82;1;52319
26;3278;370;683;-1;0;52319
27;2;879;400;-1;0;52319
28;3485;1906;229;28;1;52319
29;2154;1156;28;38;1;52319
30;414;551;842;-1;0;52319
31;632;506;215;3;1;52319
32;240;1344;797;-1;0;52319
33;1893;1017;78;41;1;52319
34;2834;1384;245;53;1;52319
35;2314;1089;132;40;1;52319
36;1677;73;103;11;1;52319
37;2339;880;952;-1;0;52319
38;70;984;384;-1;0;52319
39;2132;1084;891;-1;0;52319
40;7;1897;120;88;1;52319
41;2359;715;786;-1;0;52319
42;165;550;579;-1;0;52319
43;1654;1486;638;-1;0;52319
44;449;1756;847;-1;0;52319
45;1060;195;505;-1;0;52319
46;895;10;959;-1;0;52319
47;3907;1503;174;24;1;52319
48;3793;578;792;-1;0;52319
49;1904;1118;704;-1;0;52319
50;2256;517;914;-1;0;52319
51;1000;1347;314;96;1;52319
52;3784;960;767;-1;0;52319
53;2920;1809;791;-1;0;52319
54;637;536;299;4;1;52319
55;2959;1326;289;54;1;52319
56;1911;804;697;-1;0;52319
57;3999;1093;628;61;1;52319
58;2105;393;876;-1;0;52319
59;3624;1821;751;-1;0;52319
60;3979;1762;164;27;1;52319
61;1736;127;313;12;1;52319
62;2964;1170;51;33;1;52319
63;32;1428;56;87;1;52319
64;3217;791;927;-1;0;52319
65;1655;1900;908;-1;0;52319
66;3928;1338;512;59;1;52319
67;981;1513;893;-1;0;52319
68;2040;690;962;-1;0;52319
69;2371;1434;856;-1;0;52319
70;2012;1975;87;47;1;52319
71;954;1556;744;-1;0;52319
72;219;1778;698;-1;0;52319
73;700;487;488;-1;0;52319
74;1300;1251;646;99;1;52319
75;3736;103;646;-1;0;52319
76;3688;376;766;-1;0;52319
77;2282;296;81;14;1;52319
78;1152;93;410;-1;0;52319
79;1770;132;784;-1;0;52319
80;673;52;170;7;1;52319
81;2453;462;379;72;1;52319
82;2005;510;381;77;1;52319
83;3014;1243;741;-1;0;52319
84;2347;1997;874;-1;0;52319
85;1365;1457;784;-1;0;52319
86;3382;964;27;20;1;52319
87;1866;460;712;-1;0;52319
88;3334;578;840;-1;0;52319
89;3196;229;303;66;1;52319
90;767;1474;99;84;1;52319
91;1856;126;523;-1;0;52319
92;35;1248;894;-1;0;52319
93;3991;247;899;-1;0;52319
94;3944;1385;108;23;1;52319
95;3370;1235;263;55;1;52319
96;170;1403;826;-1;0;52319
97;2352;181;604;-1;0;52319
98;1116;1294;697;97;1;52319
99;3586;1263;451;57;1;52319
100;114;1710;594;90;1;52319
101;3478;1919;906;-1;0;52319
102;129;1293;732;-1;0;52319
103;3241;318;302;64;1;52319
104;1842;787;381;75;1;52319
105;649;254;892;-1;0;52319
106;2905;891;68;35;1;52319
107;73;1855;324;89;1;52319
108;129;15;703;-1;0;52319
109;2279;1148;144;39;1;52319
110;3208;1020;990;-1;0;52319
111;2184;746;270;73;1;52319
112;845;885;662;-1;0;52319
113;3325;479;63;18;1;52319
114;3431;256;381;68;1;52319
115;747;1840;797;-1;0;52319
116;990;1092;808;-1;0;52319
117;513;566;31;2;1;52319
118;1204;1227;591;98;1;52319
119;2735;684;850;-1;0;52319
120;977;1482;796;-1;0;52319
121;846;1034;10;83;1;52319
122;425;1514;155;85;1;52319
123;1306;516;914;-1;0;52319
124;2932;989;109;34;1;52319
125;804;1364;658;-1;0;52319
126;1822;1668;732;-1;0;52319
127;3238;171;238;65;1;52319
128;3079;1029;534;-1;0;52319
129;2991;504;888;-1;0;52319
130;3461;1269;475;56;1;52319
131;555;1117;355;-1;0;52319
132;1833;1789;381;-1;0;52319
133;514;1770;371;91;1;52319
134;1424;1502;419;95;1;52319
135;277;1305;92;86;1;52319
136;783;317;486;-1;0;52319
137;3433;28;262;67;1;52319
138;1706;1019;244;42;1;52319
139;1680;1260;362;80;1;52319
140;3287;1689;60;29;1;52319
141;2098;6;25;13;1;52319
142;1120;129;575;-1;0;52319
143;2702;900;336;36;1;52319
144;1992;864;486;78;1;52319
145;2043;1713;221;49;1;52319
146;2640;88;715;71;1;52319
