ID;X;Y;Cost;Path_Order;Is_Selected;Min_Z
0;2249;1105;40;-1;0;186038
1;278;832;247;42;1;186038
2;1459;1404;932;-1;0;186038
3;2116;1873;105;97;1;186038
4;3337;1928;515;-1;0;186038
5;1191;249;141;-1;0;186038
6;1456;1804;329;-1;0;186038
7;1420;157;945;84;1;186038
8;1946;680;119;20;1;186038
9;3503;1542;610;38;1;186038
10;592;1848;471;-1;0;186038
11;1777;1185;330;87;1;186038
12;2196;1078;893;47;1;186038
13;1889;1720;411;22;1;186038
14;2360;538;920;78;1;186038
15;2085;1797;350;-1;0;186038
16;119;890;585;-1;0;186038
17;210;1841;799;-1;0;186038
18;2954;1253;65;25;1;186038
19;810;808;692;69;1;186038
20;3731;1803;11;-1;0;186038
21;1820;435;299;33;1;186038
22;3619;1219;596;-1;0;186038
23;3960;1824;795;-1;0;186038
24;321;724;832;-1;0;186038
25;1309;801;319;89;1;186038
26;3278;370;683;51;1;186038
27;2;879;400;91;1;186038
28;3485;1906;229;-1;0;186038
29;2154;1156;28;34;1;186038
30;414;551;842;-1;0;186038
31;632;506;215;-1;0;186038
32;240;1344;797;-1;0;186038
33;1893;1017;78;12;1;186038
34;2834;1384;245;90;1;186038
35;2314;1089;132;96;1;186038
36;1677;73;103;58;1;186038
37;2339;880;952;46;1;186038
38;70;984;384;0;1;186038
39;2132;1084;891;-1;0;186038
40;7;1897;120;11;1;186038
41;2359;715;786;-1;0;186038
42;165;550;579;52;1;186038
43;1654;1486;638;44;1;186038
44;449;1756;847;-1;0;186038
45;1060;195;505;56;1;186038
46;895;10;959;-1;0;186038
47;3907;1503;174;77;1;186038
48;3793;578;792;-1;0;186038
49;1904;1118;704;73;1;186038
50;2256;517;914;-1;0;186038
51;1000;1347;314;86;1;186038
52;3784;960;767;-1;0;186038
53;2920;1809;791;-1;0;186038
54;637;536;299;-1;0;186038
55;2959;1326;289;-1;0;186038
56;1911;804;697;-1;0;186038
57;3999;1093;628;28;1;186038
58;2105;393;876;8;1;186038
59;3624;1821;751;-1;0;186038
60;3979;1762;164;5;1;186038
61;1736;127;313;-1;0;186038
62;2964;1170;51;93;1;186038
63;32;1428;56;36;1;186038
64;3217;791;927;95;1;186038
65;1655;1900;908;-1;0;186038
66;3928;1338;512;65;1;186038
67;981;1513;893;-1;0;186038
68;2040;690;962;-1;0;186038
69;2371;1434;856;-1;0;186038
70;2012;1975;87;19;1;186038
71;954;1556;744;88;1;186038
72;219;1778;698;53;1;186038
73;700;487;488;-1;0;186038
74;1300;1251;646;75;1;186038
75;3736;103;646;-1;0;186038
76;3688;376;766;76;1;186038
77;2282;296;81;-1;0;186038
78;1152;93;410;-1;0;186038
79;1770;132;784;-1;0;186038
80;673;52;170;49;1;186038
81;2453;462;379;50;1;186038
82;2005;510;381;72;1;186038
83;3014;1243;741;-1;0;186038
84;2347;1997;874;21;1;186038
85;1365;1457;784;81;1;186038
86;3382;964;27;3;1;186038
87;1866;460;712;-1;0;186038
88;3334;578;840;-1;0;186038
